id,home,away,video
201512190WAS,WAS,CHO,tV10vG98RBQ
201512210HOU,HOU,CHO,CXjfy30SzJc
201512230CHO,CHO,BOS,ShgKEL9jVLU
201512260CHO,CHO,MEM,dOmEcKiy4NM
201512280CHO,CHO,LAL,mt1eEta1Ua4
201512300CHO,CHO,LAC,CFBVghKgHNo
201601010TOR,TOR,CHO,1N0lzqEfX_w
201601020CHO,CHO,OKC,o_-Or3AQ7OM
201601060PHO,PHO,CHO,4dxaNM5WjZ4
201601090LAC,LAC,CHO,9FB9r1-ov8Y
201601100DEN,DEN,CHO,pq_RXVJU0l8
201601130CHO,CHO,ATL,vlJi3iykpCM
201601160CHO,CHO,MIL,KMsA3tHXcm0
201601180CHO,CHO,UTA,5s0Z6cMtvZY
201601200OKC,OKC,CHO,9TD8zEQRqT4
201601230CHO,CHO,NYK,GmK6te5efq0
201601250SAC,SAC,CHO,9jDiDav4naw
201601270UTA,UTA,CHO,5s0Z6cMtvZY
201601290POR,POR,CHO,HX64eS0f2ZI
201601310LAL,LAL,CHO,1kqg6Rd98U0
201602030CHO,CHO,CLE,JZ7PdnduFeQ
201602050CHO,CHO,MIA,05Z8yjBNZVg
201602060CHO,CHO,WAS,LK4HYDAfFrE
201602080CHO,CHO,CHI,SKX8NT2Zh6c
201602100IND,IND,CHO,a0EcK02NNI4
201602190MIL,MIL,CHO,NZyHYchj11Y
201602210BRK,BRK,CHO,4EYxwmZqxFk
201602240CLE,CLE,CHO,ME5756LzyEY
201602260IND,IND,CHO,5fd-_5QrHTk
201602280ATL,ATL,CHO,cdse-7-6tuY
201603010CHO,CHO,PHO,4dxaNM5WjZ4
201603020PHI,PHI,CHO,yimAQ5bHjMI
201603040CHO,CHO,IND,vokice5FqkI
201603070CHO,CHO,MIN,PeuvA5z9_Ns
201603110CHO,CHO,DET,BybwKA6u0YQ
201603120CHO,CHO,HOU,f5NVGuYB7SM
201603140CHO,CHO,DAL,6zNdW1sIR50
201603170MIA,MIA,CHO,Nk8HdjxysuA
201603190CHO,CHO,DEN,Vu-wAGSJwqE
201603210CHO,CHO,SAS,PSpMOqrrK5c
201603220BRK,BRK,CHO,RsTduRJCvo0
201603250DET,DET,CHO,Zv3ZdnLq8lA
201603260MIL,MIL,CHO,QwZytEoqMYw
201603290PHI,PHI,CHO,AYIFE8yqobw
201604010CHO,CHO,PHI,H_XUvNEED4I
201604030CLE,CLE,CHO,ME5756LzyEY
201604050TOR,TOR,CHO,JliOsDyUjLY
201604060NYK,NYK,CHO,Z972J5W6ZUQ
201604080CHO,CHO,BRK,4eRubBfQIbw
201604100WAS,WAS,CHO,xPM13hmjf1U
201604110BOS,BOS,CHO,a0EcK02NNI4
201604170MIA,MIA,CHO,Nk8HdjxysuA
201604200MIA,MIA,CHO,fUTu7hH65wU
201604230CHO,CHO,MIA,fUTu7hH65wU
201604250CHO,CHO,MIA,Nk8HdjxysuA
201604270MIA,MIA,CHO,tM5RzrpW5Nk
201604290CHO,CHO,MIA,W8l9fCdvWSQ
201605010MIA,MIA,CHO,fUTu7hH65wU
201510280MIL,MIL,NYK,d0Jdu_vKehY
201510290NYK,NYK,ATL,uEg6h9oLOoo
201510310WAS,WAS,NYK,rqQlGlVFhKg
201511020NYK,NYK,SAS,m9GyKsZ3PYY
201511040CLE,CLE,NYK,h1prXdDrWDA
201511060NYK,NYK,MIL,-1ScmGeaPIs
201511080NYK,NYK,LAL,nb0nUi0cA5o
201511100TOR,TOR,NYK,--cIxTDSbK4
201511130NYK,NYK,CLE,h1prXdDrWDA
201511200OKC,OKC,NYK,UDGHwBbOxcY
201511210HOU,HOU,NYK,-1ScmGeaPIs
201511230MIA,MIA,NYK,0h9Ynj6EGd8
201511270NYK,NYK,MIA,ecdDp-YO68s
201511290NYK,NYK,HOU,koEEy1EciqM
201512020NYK,NYK,PHI,zu4Q2tUzpjA
201512040NYK,NYK,BRK,xSJ2Xsz9qeE
201512050MIL,MIL,NYK,xSJ2Xsz9qeE
201512070NYK,NYK,DAL,_LNR5clg-N8
201512090UTA,UTA,NYK,UDGHwBbOxcY
201512100SAC,SAC,NYK,A_DP8bfGRy0
201512120POR,POR,NYK,Hb8MQ918swo
201512160NYK,NYK,MIN,f0pM4NOTAdo
201512180PHI,PHI,NYK,-1ScmGeaPIs
201512190NYK,NYK,CHI,Do02lsIyueQ
201512230CLE,CLE,NYK,6mfem3Mc6hg
201512260ATL,ATL,NYK,ejeSk7RAmPs
201512270BOS,BOS,NYK,xSJ2Xsz9qeE
201512290NYK,NYK,DET,HPp8dwQ1K_4
201601010CHI,CHI,NYK,nKbNR7_N5hQ
201601030NYK,NYK,ATL,xdwcGm8xeDw
201601050ATL,ATL,NYK,-1ScmGeaPIs
201601060MIA,MIA,NYK,NIc9QJ-xeig
201601080SAS,SAS,NYK,AvGFa4HoTTY
201601100NYK,NYK,MIL,5daW0PniFH8
201601120NYK,NYK,BOS,zIlikaEESVI
201601130BRK,BRK,NYK,LN1FD5Pgjkg
201601160MEM,MEM,NYK,P4b6WgyoFls
201601180NYK,NYK,PHI,djTGYbccoBk
201601200NYK,NYK,UTA,-lo3xF9_mss
201601220NYK,NYK,LAC,7DT_8xZwDRU
201601260NYK,NYK,OKC,xrgQiIowXfg
201601280TOR,TOR,NYK,8wycV1Ormhc
201601290NYK,NYK,PHO,lBdMVk0gO3w
201602020NYK,NYK,BOS,YVPMI-eUk0E
201602040DET,DET,NYK,Y6ZkhhJ8gwg
201602050NYK,NYK,MEM,S_KdG2XsWwM
201602070NYK,NYK,DEN,TBP7reOACKY
201602090NYK,NYK,WAS,rqQlGlVFhKg
201602190BRK,BRK,NYK,DDSajsEDufo
201602200MIN,MIN,NYK,w0DhP0Rbixw
201602220NYK,NYK,TOR,sw3e8B_trUY
201602240IND,IND,NYK,A55M_CbEt3Y
201602280NYK,NYK,MIA,ecdDp-YO68s
201603010NYK,NYK,POR,mgvsgmZ0RZY
201603040BOS,BOS,NYK,CeYmRC0hFJc
201603050NYK,NYK,DET,a0TKEofio7w
201603080DEN,DEN,NYK,JnFqjvuJ5rI
201603090PHO,PHO,NYK,lBdMVk0gO3w
201603110LAC,LAC,NYK,19V79LZTMmc
201603130LAL,LAL,NYK,saMAibXB4hI
201603190WAS,WAS,NYK,ijTFhOHM8zM
201603200NYK,NYK,SAC,Fk9np3R4Cm8
201603230CHI,CHI,NYK,KqErRrscR2c
201603240NYK,NYK,CHI,QUbQlLC4HdI
201603260NYK,NYK,CLE,wh5x9Hq_t0I
201603300DAL,DAL,NYK,AUk5ePUEeNE
201604010NYK,NYK,BRK,AuXI9cnI8DA
201604030NYK,NYK,IND,5j-yoJyqWf8
201604080PHI,PHI,NYK,HUj46Lo_8c8
201604100NYK,NYK,TOR,0qXeDaUf4b4
201604120IND,IND,NYK,YHFqky7Om5A
201510280HOU,HOU,DEN,f1jOQ44DCpk
201511010MIA,MIA,HOU,rMZknDqC-Ho
201511020HOU,HOU,OKC,GkWeYt3V4GI
201511060SAC,SAC,HOU,TtiNNBue5sQ
201511070LAC,LAC,HOU,tT5ms06AWTA
201511110HOU,HOU,BRK,aRRk-raq2as
201511130DEN,DEN,HOU,LhScqvE8R3k
201511140HOU,HOU,DAL,MjHgX3bxEE8
201511160HOU,HOU,BOS,nYW14SaTYOE
201511180HOU,HOU,POR,NoGpx4vMFzc
201511200MEM,MEM,HOU,rMZknDqC-Ho
201511250HOU,HOU,MEM,Es0AvuWIzdQ
201511270HOU,HOU,PHI,RUl2EH7qa-Q
201511300DET,DET,HOU,lEapNeRqqoI
201512040DAL,DAL,HOU,xyTCgkEs_yA
201512050HOU,HOU,SAC,MsprTMqtJEc
201512080BRK,BRK,HOU,VlrkpiS5kcs
